id,type,abscnseq,ascat,estimate,purbayes
TCGA-AR-A24Z-01,BRCA,0.62,0.72,0.853303657683,0.4542931
TCGA-69-7978-01,LUAD,0.27,0.21,0.474298989595,0.2267296
TCGA-D1-A103-01,UCEC,0.34,0.6,,
TCGA-24-1435-01,OV,0.64,0.64,0.74937145061,0.764607
TCGA-63-A5MB-01,LUSC,1.0,0.59,0.870010200435,0.9983779
TCGA-CN-A63V-01,HNSC,0.42,0.27,0.768784575674,0.2684019
TCGA-BP-5176-01,KIRC,0.32,0.37,0.679335974854,0.5017513
TCGA-EA-A5ZD-01,CESC,0.36,0.4,0.766269221421,0.3325295
TCGA-86-8668-01,LUAD,0.41,0.38,0.627484692104,0.5923749
TCGA-EK-A2PG-01,CESC,0.63,0.66,0.956986602637,0.4616545
TCGA-VP-A872-01,PRAD,0.31,,0.826690807562,0.5083065
TCGA-32-1986-01,GBM,0.4,0.52,,0.5199349
TCGA-2J-AABF-01,PAAD,0.24,,0.581823088511,0.1924888
TCGA-E7-A5KF-01,BLCA,0.95,0.71,0.989367440598,0.9530955
TCGA-24-0966-01,OV,0.95,0.85,0.909130832082,0.7019844
TCGA-DD-AACA-02,LIHC,0.92,,0.958644041945,
TCGA-EY-A1GH-01,UCEC,0.3,1.0,,0.708714
TCGA-S9-A7R1-01,LGG,0.45,,0.973614785708,0.8338687
TCGA-BJ-A3PR-01,THCA,0.29,0.32,0.507248661909,0.07401683
TCGA-F5-6571-01,CRC,0.68,0.54,0.727912457442,0.7324105
TCGA-CQ-6221-01,HNSC,0.62,0.45,0.665330571018,0.5604494
TCGA-06-2566-01,GBM,0.58,0.5,,0.9189675
TCGA-DV-5568-01,KIRC,0.62,0.54,0.589030462206,0.5431648
TCGA-FS-A1ZN-01,SKCM,0.89,0.84,0.930007982211,
TCGA-P5-A737-01,LGG,0.81,0.75,0.952759094996,0.8666588
TCGA-CV-6959-01,HNSC,0.37,0.43,0.763421294811,0.4152475
TCGA-D3-A3C7-06,SKCM,0.63,0.74,0.692672493077,0.7322281
TCGA-D8-A143-01,BRCA,0.65,0.5,0.8411144437,0.7300858
TCGA-G9-6499-01,PRAD,0.34,0.32,0.929537860481,0.2658404
TCGA-DU-7309-01,LGG,0.3,0.58,0.922670657538,0.754284
TCGA-BP-5008-01,KIRC,0.33,0.79,0.533154140295,0.3710906
TCGA-24-0970-01,OV,0.5,0.65,0.867367410494,0.6272058
TCGA-EL-A3H1-01,THCA,0.31,0.81,0.931025259926,0.8542619
TCGA-64-5815-01,LUAD,0.41,0.37,0.503841370652,0.3306526
TCGA-FD-A3SJ-01,BLCA,0.51,0.4,0.866601079444,0.4969162
TCGA-04-1644-01,OV,0.7,0.77,,0.7987622
TCGA-02-0047-01,GBM,0.37,0.68,0.759964070042,0.6223894
TCGA-CQ-A4CA-01,HNSC,0.34,0.28,0.66314025532,0.2719015
TCGA-EA-A439-01,CESC,0.39,0.62,0.835412725278,0.4912348
TCGA-P5-A77X-01,LGG,0.51,0.75,0.981320225277,0.5905506
TCGA-WE-A8K1-06,SKCM,0.43,,0.705580401762,0.8683686
TCGA-EB-A5UL-06,SKCM,0.39,0.44,0.800503203521,0.9854962
TCGA-XU-A92T-01,THYM,0.45,,0.848859026772,0.9170997
TCGA-CR-7389-01,HNSC,0.35,0.27,0.745009897416,0.3085989
TCGA-3Q-A9WF-01,THYM,0.39,,0.634751629519,0.1383793
TCGA-C5-A8XK-01,CESC,0.62,,0.902442402386,0.6836931
TCGA-Q1-A6DW-01,CESC,0.72,0.71,0.879896908769,0.7471014
TCGA-CN-4736-01,HNSC,0.39,0.38,0.601194895656,0.3756941
TCGA-DJ-A3V7-01,THCA,0.34,0.32,0.890912704744,0.7559583
TCGA-EC-A24G-01,UCEC,0.27,0.58,,0.5465306
TCGA-A8-A0A4-01,BRCA,0.65,0.64,0.81645871347,0.6669959
TCGA-D7-5577-01,STAD,0.42,0.58,0.653506048014,0.9927769
TCGA-KC-A7FE-01,PRAD,0.26,,0.870333285713,0.1457017
TCGA-06-0174-01,GBM,0.78,0.88,0.900734569343,0.9975904
