sample,IDC_Her2,IDC_Basal,IDC_LumA,IDC_LumB,ILC_LumA
RAB4B,1.0,1.0,1.0,1.0,1.0
TIGAR,1.0,0.991,1.0,0.992,1.0
RNF44,1.0,1.0,1.0,1.0,1.0
DNAH3,0.08,0.065,0.071,0.074,0.028
RPL23A,1.0,1.0,1.0,1.0,1.0
ARL8B,1.0,1.0,1.0,1.0,1.0
CALB2,0.82,0.916,0.798,0.631,0.821
DACH1,0.5,0.103,0.909,0.844,0.972
FMO2,0.58,0.832,0.763,0.566,0.915
ZNF708,0.96,0.925,0.97,0.967,0.991
MYADML2,0.0,0.009,0.0,0.008,0.0
PHEX,0.56,0.28,0.247,0.295,0.104
MOGAT2,0.7,0.561,0.51,0.295,0.585
PFN2,1.0,1.0,1.0,1.0,1.0
RMND5A,1.0,1.0,1.0,1.0,1.0
RAD23A,1.0,1.0,1.0,1.0,1.0
TUBB4A,0.12,0.299,0.071,0.197,0.009
OR2D2,0.0,0.0,0.0,0.0,0.0
SERPINB11,0.0,0.0,0.0,0.0,0.0
COX10,1.0,1.0,1.0,1.0,1.0
GJA4,1.0,0.991,0.995,0.992,1.0
TLL2,0.02,0.019,0.015,0.008,0.019
MFSD3,1.0,1.0,1.0,1.0,1.0
CTSA,1.0,1.0,1.0,1.0,1.0
IL32,1.0,1.0,1.0,1.0,1.0
PRAC2,0.32,0.374,0.116,0.221,0.132
NUCB2,1.0,1.0,1.0,1.0,1.0
SERPINB12,0.0,0.009,0.0,0.0,0.0
B3GAT2,0.0,0.047,0.005,0.008,0.009
SPATA2,1.0,0.991,1.0,1.0,1.0
FGF23,0.0,0.0,0.0,0.0,0.0
SERTAD2,1.0,1.0,1.0,0.992,1.0
OTUD1,1.0,1.0,1.0,1.0,1.0
ADGRG5,0.3,0.336,0.121,0.082,0.179
ST3GAL6,0.96,1.0,0.985,0.951,0.991
GLI4,1.0,1.0,1.0,1.0,1.0
PKP2,1.0,0.981,0.975,0.951,0.981
HOOK1,0.98,1.0,1.0,1.0,1.0
MRM3,1.0,1.0,1.0,1.0,1.0
KRT1,0.02,0.028,0.056,0.033,0.151
ASB8,1.0,1.0,1.0,1.0,1.0
SLC45A4,1.0,0.991,0.995,0.959,1.0
MTRF1,1.0,0.981,1.0,1.0,1.0
GAGE10,0.0,0.009,0.005,0.025,0.0
ESM1,0.96,0.981,0.98,0.959,0.887
RWDD2A,0.98,0.897,0.955,0.992,0.981
SCFD2,1.0,1.0,1.0,1.0,1.0
PRR23A,0.0,0.0,0.0,0.0,0.0
TMEM155,0.0,0.037,0.0,0.0,0.0
TOMM40,1.0,1.0,1.0,1.0,1.0
PRSS48,0.0,0.0,0.005,0.0,0.0
ADTRP,0.46,0.561,0.46,0.205,0.509
SEPSECS,0.96,0.888,1.0,1.0,1.0
DCDC2C,0.0,0.0,0.0,0.0,0.0
CWC27,1.0,1.0,1.0,1.0,1.0
MT1L,0.88,0.935,0.894,0.738,0.953
PRAMEF26,0.0,0.0,0.0,0.0,0.0
MYOM2,0.44,0.29,0.556,0.295,0.66
MAP9,0.94,0.785,0.879,0.902,0.896
EVX1,0.0,0.009,0.01,0.008,0.009
APIP,1.0,1.0,1.0,1.0,1.0
FOXP1,1.0,1.0,1.0,1.0,1.0
MAF1,1.0,1.0,1.0,1.0,1.0
NPHP3,0.98,1.0,0.99,0.984,1.0
OR5L2,0.0,0.0,0.0,0.0,0.0
PRAMEF4,0.0,0.0,0.0,0.0,0.0
PLCE1,0.28,0.72,0.591,0.385,0.575
RAD17,1.0,1.0,1.0,1.0,1.0
MITD1,1.0,1.0,1.0,1.0,1.0
ZMAT3,0.98,0.981,0.995,0.975,1.0
SPCS2,1.0,1.0,1.0,1.0,1.0
SETDB2,1.0,0.935,1.0,1.0,1.0
PAX3,0.0,0.084,0.005,0.0,0.028
DESI2,1.0,1.0,1.0,1.0,1.0
MT1A,0.4,0.439,0.636,0.582,0.774
COX17,1.0,1.0,1.0,1.0,1.0
NLGN2,1.0,1.0,0.995,1.0,1.0
HAO1,0.0,0.028,0.0,0.0,0.0
PKMYT1,1.0,1.0,0.985,1.0,0.991
FAM89B,1.0,1.0,1.0,1.0,1.0
MED8,1.0,1.0,1.0,1.0,1.0
PHF1,1.0,1.0,1.0,1.0,1.0
FAM69A,0.98,0.963,1.0,0.984,1.0
ANKMY1,1.0,1.0,1.0,1.0,1.0
PSMB6,1.0,1.0,1.0,1.0,1.0
CIB4,0.04,0.065,0.015,0.025,0.009
GUCY1A3,1.0,0.981,1.0,0.984,1.0
PRKG2,0.08,0.112,0.111,0.213,0.094
FBXO45,1.0,1.0,1.0,1.0,1.0
AMZ2,1.0,1.0,1.0,1.0,1.0
TMEM52,0.48,0.804,0.621,0.77,0.557
HLA-DRB1,1.0,1.0,1.0,1.0,1.0
GCNT4,0.0,0.037,0.247,0.205,0.226
EFCAB1,0.06,0.093,0.187,0.082,0.311
KLK8,0.3,0.757,0.444,0.082,0.594
MTF2,1.0,1.0,1.0,1.0,1.0
RBM15B,1.0,1.0,1.0,1.0,1.0
NOBOX,0.0,0.019,0.0,0.0,0.0
ATP2A1,0.16,0.206,0.086,0.156,0.17
CALHM1,0.0,0.0,0.02,0.033,0.0
ZNF880,0.96,0.991,1.0,0.992,1.0
NCAPG,1.0,1.0,0.96,1.0,0.915
CLPSL2,0.66,0.458,0.763,0.795,0.802
MELTF,0.9,1.0,0.98,0.943,1.0
PTPRB,0.88,0.598,0.97,0.902,1.0
TMCO1,1.0,1.0,1.0,1.0,1.0
RAB5C,1.0,1.0,1.0,1.0,1.0
NPBWR2,0.0,0.0,0.0,0.0,0.0
UPP1,1.0,1.0,1.0,1.0,1.0
CEBPE,0.0,0.0,0.0,0.0,0.0
TRABD2B,0.04,0.065,0.298,0.115,0.736
KLK10,0.3,0.813,0.485,0.213,0.755
KDM5B,1.0,1.0,1.0,1.0,1.0
STPG1,1.0,1.0,1.0,1.0,1.0
PTPRH,0.16,0.047,0.106,0.156,0.038
PCMTD1,1.0,1.0,1.0,1.0,1.0
OR14A16,0.0,0.0,0.005,0.0,0.009
GLRA3,0.0,0.009,0.232,0.205,0.264
FRMD8,1.0,1.0,1.0,1.0,1.0
HELZ2,1.0,1.0,1.0,1.0,1.0
FAM188B,0.96,1.0,0.848,0.746,0.981
MAP2K7,1.0,1.0,1.0,1.0,1.0
GRIP1,0.86,0.813,0.828,0.82,0.849
SLC2A1,1.0,1.0,1.0,1.0,1.0
C6orf229,0.0,0.0,0.0,0.0,0.0
WNT1,0.0,0.009,0.0,0.0,0.0
SNRPD2,1.0,1.0,1.0,1.0,1.0
MUSK,0.0,0.0,0.005,0.0,0.0
PTPN4,1.0,1.0,1.0,0.984,1.0
CDY1,0.0,0.0,0.0,0.0,0.0
LZIC,1.0,1.0,1.0,1.0,1.0
SPATA31D1,0.0,0.0,0.0,0.0,0.0
MASP2,0.0,0.0,0.025,0.0,0.085
RPRM,0.12,0.215,0.005,0.041,0.019
SPAG11B,0.0,0.0,0.0,0.0,0.009
TNNT1,0.72,0.72,0.889,0.926,0.877
XKR5,0.0,0.0,0.0,0.0,0.0
MT-ND1,1.0,1.0,1.0,1.0,1.0
CAMK1,1.0,1.0,1.0,1.0,1.0
DEFA1,0.02,0.019,0.005,0.016,0.019
H6PD,1.0,1.0,1.0,1.0,1.0
GRAMD1C,0.86,0.785,0.97,0.91,0.981
WFDC1,0.54,0.607,0.616,0.434,0.613
RPS6KB1,1.0,1.0,1.0,1.0,1.0
KCNE4,0.96,0.72,0.985,0.934,0.991
FCGR2B,1.0,1.0,0.985,0.992,1.0
HOXC13,0.92,0.86,0.783,0.836,0.802
PHYKPL,1.0,1.0,1.0,1.0,1.0
TRIM27,1.0,1.0,1.0,1.0,1.0
PHLDA2,1.0,0.963,0.965,0.975,0.934
CBL,0.98,0.991,1.0,0.975,0.991
SMAP1,1.0,1.0,1.0,1.0,1.0
TERB2,0.08,0.0,0.0,0.0,0.009
RLN1,0.02,0.0,0.086,0.074,0.075
EVPL,1.0,0.991,0.995,0.992,0.991
SMIM2,0.02,0.0,0.005,0.0,0.0
RDH12,0.06,0.056,0.106,0.057,0.123
IL27RA,0.94,1.0,0.975,0.943,0.991
OR10H1,0.0,0.0,0.0,0.008,0.0
BRDT,0.02,0.0,0.015,0.025,0.019
WDR70,1.0,1.0,1.0,1.0,1.0
TTC5,1.0,1.0,1.0,1.0,1.0
CENPH,1.0,1.0,1.0,1.0,1.0
EPB41L2,1.0,1.0,1.0,1.0,1.0
C1orf35,1.0,1.0,1.0,1.0,1.0
LDHA,1.0,1.0,1.0,1.0,1.0
XCL1,0.22,0.234,0.081,0.131,0.142
RBM10,1.0,1.0,1.0,1.0,1.0
DNMT3A,1.0,1.0,1.0,1.0,1.0
CYP4F22,0.2,0.103,0.621,0.385,0.66
PDE5A,0.92,0.897,0.99,0.951,1.0
ZNF304,0.98,0.981,1.0,0.992,1.0
ATP6AP2,1.0,1.0,1.0,1.0,1.0
ATP23,1.0,0.991,1.0,1.0,1.0
TREH,0.0,0.0,0.0,0.0,0.0
NOP16,1.0,1.0,1.0,1.0,1.0
HEY2,0.7,0.654,0.874,0.59,0.906
ACOX2,0.92,0.673,0.99,0.992,1.0
ASUN,1.0,1.0,1.0,1.0,1.0
MAJIN,0.04,0.047,0.015,0.074,0.028
PROSER2,0.94,0.963,0.975,0.918,0.953
PPP1R7,1.0,1.0,1.0,1.0,1.0
HNRNPA2B1,1.0,1.0,1.0,1.0,1.0
OR51E2,0.02,0.0,0.01,0.008,0.009
CYP2E1,0.18,0.159,0.303,0.295,0.547
PES1,1.0,1.0,1.0,1.0,1.0
HSDL2,1.0,1.0,1.0,1.0,1.0
PTCD3,1.0,1.0,1.0,1.0,1.0
STARD5,1.0,0.916,0.985,1.0,1.0
TSPEAR,0.04,0.0,0.035,0.033,0.0
DNAJC8,1.0,1.0,1.0,1.0,1.0
SRRM1,1.0,1.0,1.0,1.0,1.0
FLYWCH2,1.0,1.0,1.0,1.0,1.0
NTM,1.0,0.841,1.0,0.992,1.0
LSM4,1.0,1.0,1.0,1.0,1.0
IFNA1,0.0,0.0,0.0,0.008,0.0
DDX3X,1.0,1.0,1.0,1.0,1.0
RPL41,1.0,1.0,1.0,1.0,1.0
SERPINB3,0.02,0.159,0.04,0.008,0.009
ASB2,0.3,0.383,0.101,0.098,0.406
CD1C,0.36,0.439,0.475,0.254,0.717
MZT2A,1.0,1.0,1.0,1.0,1.0
EXOSC7,1.0,1.0,1.0,1.0,1.0
RECQL5,1.0,1.0,1.0,1.0,1.0
ZNF35,1.0,1.0,1.0,0.992,1.0
OGDHL,0.06,0.234,0.025,0.074,0.009
NOX1,0.0,0.0,0.0,0.0,0.0
FGFBP1,0.04,0.551,0.076,0.008,0.057
FAM86C1,1.0,1.0,1.0,1.0,1.0
PIGA,1.0,1.0,1.0,0.992,1.0
MNT,1.0,1.0,1.0,1.0,1.0
MSANTD3,1.0,1.0,1.0,0.992,1.0
OR2V2,0.0,0.0,0.0,0.0,0.0
PLOD1,1.0,1.0,1.0,1.0,1.0
CD79B,0.84,0.935,0.732,0.68,0.972
FARS2,1.0,1.0,1.0,1.0,1.0
DDX60L,1.0,0.953,1.0,0.992,0.991
VNN2,0.46,0.505,0.253,0.295,0.472
RCN3,1.0,1.0,1.0,1.0,1.0
PPP4C,1.0,1.0,1.0,1.0,1.0
JAKMIP3,0.02,0.037,0.116,0.057,0.113
ALDOA,1.0,1.0,1.0,1.0,1.0
CTAGE6,0.0,0.009,0.0,0.0,0.0
NCEH1,1.0,0.953,1.0,1.0,1.0
RFX4,0.0,0.037,0.0,0.008,0.0
NRAP,0.0,0.0,0.0,0.0,0.009
ZFYVE28,0.84,0.832,0.98,0.934,0.991
RCAN3,1.0,1.0,1.0,0.984,1.0
GALC,1.0,1.0,1.0,1.0,1.0
ZNF451,1.0,1.0,1.0,1.0,1.0
RNF24,1.0,1.0,1.0,1.0,1.0
DROSHA,1.0,1.0,1.0,1.0,1.0
BCL7C,1.0,1.0,1.0,1.0,1.0
LEMD2,1.0,1.0,1.0,1.0,1.0
BTLA,0.38,0.355,0.157,0.189,0.264
HES7,0.0,0.009,0.0,0.0,0.0
PRDM10,0.98,0.907,0.99,0.984,0.981
VPS18,1.0,1.0,1.0,1.0,1.0
UQCRB,1.0,1.0,1.0,1.0,1.0
FAM69B,0.94,0.85,0.934,0.869,1.0
PRRT1,0.88,0.879,0.975,0.984,1.0
RNF5,1.0,1.0,1.0,1.0,1.0
ONECUT1,0.02,0.0,0.0,0.0,0.0
POTEC,0.04,0.0,0.071,0.115,0.066
CCDC63,0.0,0.0,0.0,0.0,0.0
CDK8,1.0,1.0,1.0,0.992,1.0
PCBP3,0.3,0.505,0.141,0.148,0.236
LAMA1,0.28,0.467,0.419,0.205,0.453
RIC8B,1.0,0.991,1.0,1.0,1.0
PLK3,1.0,1.0,1.0,1.0,1.0
MPLKIP,1.0,0.991,1.0,0.992,1.0
LIPJ,0.0,0.028,0.0,0.0,0.0
EN1,0.46,0.86,0.237,0.18,0.283
PEMT,1.0,1.0,1.0,1.0,1.0
TRIM51,0.0,0.0,0.0,0.0,0.0
WNK4,0.24,0.252,0.894,0.73,0.934
LNPEP,1.0,0.972,1.0,1.0,1.0
PXT1,0.0,0.0,0.0,0.0,0.0
MRPL22,1.0,1.0,1.0,1.0,1.0
SLC7A11,0.24,0.421,0.197,0.344,0.142
NCAN,0.0,0.224,0.0,0.0,0.009
GABRA3,0.14,0.15,0.051,0.123,0.028
DOCK10,0.98,0.935,0.995,0.984,1.0
DHDDS,1.0,1.0,1.0,1.0,1.0
C10orf90,0.02,0.364,0.0,0.0,0.028
MGA,1.0,1.0,1.0,0.967,1.0
RMI2,1.0,1.0,1.0,1.0,1.0
GALNT16,0.56,0.551,0.904,0.82,0.981
