sample,ILC_LumA_T,IDC_LumB_T,IDC_LumA_T,IDC_Basal_T,IDC_Her2_T
RAB4B,4.738,4.5113,4.6713,4.1269,4.4696
TIGAR,1.8663,2.2082,2.0638,2.4597,2.4305
RNF44,4.1206,3.8516,3.9002,3.8126,3.647
DNAH3,-4.6082,-4.2934,-3.9255,-2.8262,-3.6259
RPL23A,10.012,10.098,9.9301,9.7596,9.6855
ARL8B,5.3078,5.6961,5.5417,5.1223,5.2625
CALB2,1.7271,0.7916,1.2239,3.9051,1.4729
DACH1,2.8838,2.4279,2.7303,-2.3147,-0.0737
FMO2,2.4246,0.3172,1.398,2.2573,0.1513
ZNF708,1.5514,1.4756,1.6021,1.3283,1.5585
MYADML2,-4.2934,-4.2934,-4.6082,-4.6082,-4.4508
PHEX,-1.0559,-0.7596,-0.9686,-0.9686,0.0717
MOGAT2,0.521,-1.5528,0.044,0.5069,1.299
PFN2,5.0296,5.9042,5.6716,6.6163,5.4685
RMND5A,3.5953,3.8531,3.7971,3.8925,3.799
RAD23A,6.0351,6.1464,5.9904,6.2576,5.9294
TUBB4A,-3.3076,-3.0469,-3.458,-1.5105,-2.5116
OR2D2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SERPINB11,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
COX10,2.3746,2.457,2.4558,2.6371,2.496
GJA4,3.4668,2.2406,2.908,2.1574,2.475
TLL2,-2.3884,-2.3884,-2.1779,-3.1714,-1.8062
MFSD3,3.838,4.2154,3.8177,3.6277,3.347
CTSA,6.1361,6.5716,6.257,6.4075,6.5412
IL32,6.185,5.7828,6.0211,7.5227,6.2404
PRAC2,-9.9658,-3.2395,-9.9658,-1.2142,-1.4902
NUCB2,6.4786,7.2777,7.004,5.9016,6.715
SERPINB12,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
B3GAT2,-2.6811,-3.2395,-3.0469,-2.5479,-3.3076
SPATA2,2.5074,2.7215,2.6359,2.296,2.4276
FGF23,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
SERTAD2,3.4258,3.4061,3.3549,3.7496,3.4647
OTUD1,2.7858,2.4279,2.496,2.3926,2.0791
ADGRG5,-0.7346,-1.9108,-1.5522,-0.5543,-1.0862
ST3GAL6,1.6327,1.1865,1.3984,2.6738,1.6848
GLI4,3.0349,3.0489,2.685,2.9929,2.5875
PKP2,2.4908,2.4675,2.54,2.8422,2.5876
HOOK1,2.931,3.38,3.2328,2.676,2.6122
MRM3,3.0199,2.908,2.9534,3.1426,2.8917
KRT1,-1.5128,-3.816,-3.3076,-4.6082,-5.0116
ASB8,4.0006,4.18,4.121,3.3307,3.8738
SLC45A4,2.0465,2.004,1.8957,2.7292,2.3898
MTRF1,1.9415,1.8444,1.886,1.7403,1.5923
GAGE10,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ESM1,1.5901,1.7933,2.0586,2.0004,2.5045
RWDD2A,1.1347,1.3022,1.1802,0.7832,1.2756
SCFD2,2.6714,2.8076,2.7487,2.694,2.7465
PRR23A,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMEM155,-3.6259,-3.6259,-3.6259,-3.3076,-3.3076
TOMM40,4.9033,5.074,4.8844,5.847,5.2024
PRSS48,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ADTRP,0.0918,-1.0559,-0.1425,0.346,-0.0351
SEPSECS,1.766,1.8323,1.816,0.7233,1.071
DCDC2C,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CWC27,3.6277,3.7215,3.6148,3.4971,3.3485
MT1L,1.9413,0.5568,1.5612,2.4675,0.9526
PRAMEF26,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MYOM2,0.4125,-0.6416,0.1256,-0.6873,-0.1032
MAP9,1.5538,2.2871,1.9822,1.0642,2.2438
EVX1,-4.6082,-6.5064,-6.5064,-6.5064,-5.5735
APIP,4.034,4.2944,4.133,4.2297,3.7208
FOXP1,4.5868,4.2684,4.4108,3.1028,4.1875
MAF1,6.0756,6.4292,6.0886,6.6078,6.0564
NPHP3,2.5573,1.9321,2.1589,1.8957,1.6865
OR5L2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PRAMEF4,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PLCE1,0.119,-0.3659,0.1584,0.8327,-0.5232
RAD17,3.7242,3.8491,3.772,3.1028,3.3434
MITD1,4.208,4.0636,4.0644,4.4223,3.9847
ZMAT3,2.057,1.6328,1.913,1.7403,1.7744
SPCS2,6.9838,7.3418,7.2552,7.1828,7.2688
SETDB2,2.0878,1.6784,1.8683,1.4281,1.452
PAX3,-3.816,-4.2934,-4.2934,-4.6082,-4.1642
DESI2,3.7022,3.9902,3.795,4.846,4.1304
MT1A,1.2515,0.6788,1.1706,-0.6416,-0.9688
COX17,5.5918,6.2733,5.9425,5.6221,6.0696
NLGN2,2.9013,2.4597,2.6348,2.4225,2.0535
HAO1,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
PKMYT1,2.9534,4.4091,3.301,4.6341,4.5038
FAM89B,5.0762,5.0547,5.0446,5.5289,5.392
MED8,4.4367,4.5844,4.4794,5.0401,4.7316
PHF1,5.3949,4.7827,5.0653,4.8832,4.6004
FAM69A,2.4062,2.3578,2.5474,1.8444,2.2975
ANKMY1,3.0782,2.4158,2.5804,1.683,2.0218
PSMB6,6.4028,6.6243,6.4963,6.7302,6.5374
CIB4,-9.9658,-9.9658,-9.9658,-4.6082,-4.6082
GUCY1A3,2.9744,2.3103,2.771,3.3549,3.1273
PRKG2,-1.4502,-1.2481,-1.4113,-2.2447,-1.2146
FBXO45,2.5225,3.3328,2.8422,3.3119,3.1831
AMZ2,5.7373,6.3988,6.0056,5.8568,6.0128
TMEM52,0.1902,1.0639,0.4178,1.3735,-0.1912
HLA-DRB1,7.845,7.1848,7.2194,7.8325,7.4561
GCNT4,-0.6308,-1.685,-0.9269,-2.2447,-1.8062
EFCAB1,-1.0717,-3.458,-1.7809,-2.6349,-3.1092
KLK8,0.5666,-3.0469,-0.4522,3.9801,-1.4705
MTF2,2.8769,3.0199,2.9441,3.3647,2.9728
RBM15B,3.8304,3.7704,3.8095,3.7324,3.639
NOBOX,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
