sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
RAB4B,4.9856,4.1659,5.1235,3.4437,4.282,4.3841,4.0348,5.1571,5.6416,4.5476,5.2765,3.1096,5.9545,4.1269,4.6566,4.6014,4.8603,4.656,5.3415,5.9545
TIGAR,1.6234,0.8123,2.6681,1.0503,2.4583,1.5215,2.1247,2.5804,3.4251,1.9657,2.5213,1.8119,2.1957,2.3133,1.3735,1.9894,1.9034,2.7139,2.55,2.1957
RNF44,4.0679,5.0283,3.8645,1.9731,3.6617,3.8157,3.772,3.9783,4.0687,4.1028,4.2965,3.7193,4.3349,3.5767,2.9432,4.0036,3.5187,3.8431,4.1258,4.3349
DNAH3,0.03,0.044,0.4853,0.0014,0.4602,0.1257,0.1124,0.5568,0.099,0.2519,1.0007,0.0854,0.0718,0.0718,0.0014,0.058,0.0854,0.3115,0.2022,0.0718
RPL23A,9.6969,11.0095,9.4246,8.4428,9.7492,10.4957,10.0652,9.3889,10.7261,9.3665,9.6571,8.4743,7.8606,9.1149,10.9914,8.9453,10.0199,10.1384,9.5323,7.8606
ARL8B,5.3463,4.7903,5.2562,3.5418,5.2242,4.9846,5.2028,5.3729,5.1269,4.8501,4.7203,4.3612,6.0063,5.1659,5.0343,4.9782,5.1934,5.0131,4.9924,6.0063
CALB2,0.0718,2.0809,1.365,0.044,1.8658,0.9935,4.6218,1.3901,0.4657,0.7536,2.9413,0.4657,5.2604,0.058,0.8246,0.1388,0.4499,0.9716,2.336,5.2604
DACH1,0.0718,0.4447,2.2781,0.4125,0.2215,2.0707,2.2082,2.1798,0.0854,0.6561,1.2576,0.3346,0.9789,2.8858,1.5465,2.6838,2.4237,0.9789,0.8869,0.9789
FMO2,1.9786,1.478,6.0869,0.7233,4.6281,1.5064,5.5239,6.3536,1.5013,1.5633,0.5955,1.4911,0.3115,3.0978,1.0433,2.6347,1.8642,0.6425,1.6111,0.3115
ZNF708,2.3308,2.59,1.6211,0.434,0.7748,1.7142,2.2452,1.595,1.7185,1.5732,1.3846,1.3623,2.4649,1.5758,1.2271,1.3213,2.103,1.177,1.831,2.4649
MYADML2,0.0158,0.0158,0.0158,0.0014,0.4179,0.0158,0.03,0.0014,0.044,0.03,0.0718,0.03,1.5315,0.0158,0.03,0.0218,0.044,0.0014,0.0417,1.5315
PHEX,0.7233,0.4865,0.8487,0.0158,0.1965,0.5666,0.517,0.9568,0.2998,0.1711,0.1124,0.058,0.2277,0.1776,1.3623,0.1257,0.246,0.1257,0.1279,0.2277
MOGAT2,0.0014,0.0158,0.0158,5.3012,0.1188,0.03,1.4441,0.0158,0.3346,2.5608,6.0954,0.1388,0.0014,0.6421,0.0718,1.0221,1.7484,0.6145,0.1189,0.0014
PFN2,6.7084,5.4089,4.1061,2.7677,4.7697,5.9117,5.3324,4.0366,5.2323,4.31,4.5136,3.3221,7.9592,6.554,5.7135,6.3403,5.9995,5.5677,4.5273,7.9592
RMND5A,3.1096,2.8887,3.2018,3.4476,3.6119,3.6006,4.0541,3.3534,3.0961,3.2714,4.1946,2.8994,3.834,3.9445,3.2766,3.6872,3.5212,3.4398,2.9708,3.834
RAD23A,5.9794,5.9223,5.9988,5.3622,5.8705,6.1102,5.8505,5.9982,6.4063,5.7928,5.9286,5.0887,6.2258,5.521,6.1868,5.7843,6.0837,6.0435,6.0231,6.2258
TUBB4A,0.1124,0.5468,0.2642,0.2522,0.2338,0.4657,0.1903,0.3231,2.4649,0.6712,1.2022,0.2881,8.9009,1.6045,0.1648,1.8714,0.1903,0.2642,1.8818,8.9009
OR2D2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
SERPINB11,0.0014,0.0014,0.0854,0.0014,2.3866,0.0014,0.0014,0.058,0.0014,0.0264,0.0014,0.1519,0.03,0.0014,0.0014,0.0014,2.8596,0.4125,0.0014,0.03
COX10,2.7721,2.1717,2.4518,2.0793,3.0109,2.5363,2.8158,2.4117,2.602,2.9488,3.5767,2.4544,2.1147,3.2228,2.3251,3.1892,2.7562,2.8137,2.4512,2.1147
GJA4,3.4869,3.3731,4.0622,2.6532,1.6558,4.4006,3.5199,3.8116,3.7291,2.2768,1.8643,1.0711,1.3283,3.9142,3.9515,3.8236,2.3674,3.2312,3.1295,1.3283
TLL2,0.5271,0.3115,0.0718,0.0158,0.2821,0.4552,0.099,0.0718,0.2642,0.4656,0.3115,0.2998,1.1183,0.2642,0.6425,0.24,0.6235,0.1257,0.4962,1.1183
MFSD3,4.0842,2.901,2.609,3.7143,3.215,2.4492,2.7249,2.8219,4.0816,3.022,3.6927,2.1735,3.8269,3.808,2.0289,4.5454,4.0705,2.3898,2.945,3.8269
CTSA,5.4135,6.7767,6.6768,5.8366,5.8718,5.7493,5.8578,6.5705,7.25,6.1638,8.0801,5.1486,5.5705,7.0325,5.9409,7.4717,5.5264,6.0226,7.106,5.5705
IL32,5.4744,3.8925,7.9402,8.3327,5.9636,5.8515,5.2994,7.6253,8.009,6.7464,8.2254,4.1499,2.5634,6.6453,4.8748,7.2859,5.3709,5.496,8.9894,2.5634
PRAC2,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,2.3451,0.0014,0.0014,0.0014,0.0014,0.0014,4.4726,1.8604,0.0014,0.0014
NUCB2,6.4706,5.2718,5.7521,4.7695,6.6413,6.1872,6.215,5.6511,5.3597,5.5574,5.2146,5.4835,4.1756,5.257,6.1092,4.95,6.3699,5.497,5.4323,4.1756
SERPINB12,0.0014,0.0014,0.0014,0.0014,1.0186,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
