lr,t,c_l,c_r,cc,cs,n_l,n_r,nn,s_l,s_r,sc,ss,sum,sum_pct,t_l,t_r
EREG_EGFR,IDC_Basal,0.2206,6.7179,13.616,16.4857,0.141,21.3113,27.6076,0.3099,8.1337,19.1295,23.1613,10.8844,100.0,0.081,7.771
EREG_EGFR,IDC_Her2,0.0091,6.609,0.8547,0.3566,0.141,21.3113,42.6048,0.4231,2.7576,39.643,16.5409,7.053,100.0,0.051,2.8911
EREG_EGFR,IDC_LumA,0.0,0.026,0.0,0.0,0.141,21.3113,26.0792,0.7783,10.9174,0.176,73.7448,11.5222,100.0,0.0457,1.8759
EREG_EGFR,IDC_LumB,0.0,0.371,0.0,0.0,0.141,21.3113,63.2949,0.4959,3.1431,3.8749,32.8302,4.7475,100.0,0.031,0.9109
EREG_EGFR,ILC_LumA,0.2839,0.7177,2.4885,32.4469,0.141,21.3113,36.7021,0.2305,9.3582,2.0203,26.3422,8.1873,100.0,0.041,3.3959
EREG_ERBB4,IDC_Basal,0.2206,0.1196,4.65,7.3715,0.141,2.8611,71.0891,0.3099,0.1896,6.5329,10.3565,0.5675,100.0,0.081,0.081
EREG_ERBB4,IDC_Her2,0.0091,5.1924,1.789,0.0,0.141,2.8611,15.2376,0.4231,0.0,82.9735,0.0,2.6475,100.0,0.051,1.2509
EREG_ERBB4,IDC_LumA,0.0,7.2169,0.0,0.0,0.141,2.8611,4.7993,0.7783,3.0648,66.8228,28.3779,8.4057,100.0,0.0457,5.0308
EREG_ERBB4,IDC_LumB,0.0,7.855,0.0,0.0,0.141,2.8611,8.7516,0.4959,0.6271,84.5023,6.7461,4.6096,100.0,0.031,3.2857
EREG_ERBB4,ILC_LumA,0.2839,10.2138,44.3287,7.4592,0.141,2.8611,6.1678,0.2305,1.7187,35.9885,6.0558,6.5407,100.0,0.041,3.8659
ADAM15_ITGAV,IDC_Basal,146.4007,11.4796,14.5067,41.0088,55.6734,23.1207,11.1108,88.0103,32.4515,8.7208,24.6528,11585.1481,100.0,122.7007,18.0409
ADAM15_ITGAV,IDC_Her2,69.6736,38.9106,17.6159,7.5004,55.6734,23.1207,8.3641,184.5289,16.567,46.6552,19.8645,15389.7655,100.0,103.4938,23.7688
ADAM15_ITGAV,IDC_LumA,58.3839,18.983,10.0823,21.7079,55.6734,23.1207,11.7099,103.7641,40.8716,17.919,38.5809,10992.5058,100.0,79.9818,27.8152
ADAM15_ITGAV,IDC_LumB,61.9616,16.0962,9.9138,20.7449,55.6734,23.1207,12.7951,114.2801,33.6816,18.2848,38.2613,10060.1312,100.0,76.4264,22.2002
ADAM15_ITGAV,ILC_LumA,105.6988,25.1547,24.6316,23.4135,55.6734,23.1207,11.9248,88.0658,23.9108,20.5225,19.5076,10794.3735,100.0,87.8883,25.4395
AGRN_ATP1A3,IDC_Basal,34.3221,0.1914,9.4168,31.4095,26.7209,0.081,3.103,47.1379,0.6385,12.933,43.1377,69.7738,100.0,40.4201,0.251
AGRN_ATP1A3,IDC_Her2,25.0606,0.936,26.3282,11.4116,26.7209,0.081,2.43,39.7294,0.4057,41.7389,18.0913,89.0964,100.0,31.577,0.3709
AGRN_ATP1A3,IDC_LumA,28.4562,1.1968,36.4646,0.0,26.7209,0.081,2.3182,47.7726,0.0,61.2172,0.0,93.3953,100.0,36.5247,0.291
AGRN_ATP1A3,IDC_LumB,21.7595,2.4167,37.5192,0.0,26.7209,0.081,1.5447,35.3403,0.0,60.9361,0.0,140.1579,100.0,26.7859,0.481
AGRN_ATP1A3,ILC_LumA,37.7171,0.1216,5.9224,35.8445,26.7209,0.081,2.795,50.0628,0.7362,7.861,47.5772,77.462,100.0,46.2698,0.301
AGRN_LRP4,IDC_Basal,34.3221,1.811,24.9989,3.4112,26.7209,3.0309,32.5718,47.1379,0.2471,34.3333,4.6849,248.6451,100.0,40.4201,0.701
AGRN_LRP4,IDC_Her2,25.0606,1.819,19.4246,5.9069,26.7209,3.0309,34.5097,39.7294,0.5532,30.7945,9.3644,234.6821,100.0,31.577,0.806
AGRN_LRP4,IDC_LumA,28.4562,0.8291,8.2904,18.4155,26.7209,3.0309,28.4599,47.7726,1.8416,13.918,30.9162,284.5687,100.0,36.5247,1.016
AGRN_LRP4,IDC_LumB,21.7595,1.1404,13.2706,8.3325,26.7209,3.0309,43.3107,35.3403,0.7161,21.5532,13.533,186.9934,100.0,26.7859,0.761
AGRN_LRP4,ILC_LumA,37.7171,0.6063,6.7838,25.8602,26.7209,3.0309,24.027,50.0628,2.3111,9.0043,34.3248,337.071,100.0,46.2698,1.266
AMH_ACVR1,IDC_Basal,0.5989,10.0326,16.4521,27.0084,0.141,21.4415,8.2778,0.6651,16.4699,18.2696,29.9922,36.5228,100.0,0.281,11.8713
AMH_ACVR1,IDC_Her2,1.3916,18.8133,30.7813,23.9183,0.141,21.4415,3.5545,1.0621,14.6187,23.4919,18.2541,85.056,100.0,0.8298,16.5218
AMH_ACVR1,IDC_LumA,1.2968,10.1024,18.4466,55.1293,0.141,21.4415,4.2571,0.3907,30.1919,5.5576,16.6094,71.0179,100.0,0.456,17.3456
AMH_ACVR1,IDC_LumB,0.9394,10.1332,15.213,32.5588,0.141,21.4415,4.8317,0.932,21.6871,15.0935,32.303,62.5716,100.0,0.741,13.9114
AMH_ACVR1,ILC_LumA,3.0542,12.8643,33.8285,53.8152,0.141,21.4415,2.6031,0.3399,20.4648,3.7646,5.9887,116.143,100.0,0.7808,17.4602
APP_CD74,IDC_Basal,455.794,152.9161,0.5262,50.3076,437.1254,986.2694,3.2549,411.6572,14619.449,0.4753,45.4361,13245429.718,100.0,433.1131,1445.7476
APP_CD74,IDC_Her2,216.0675,189.573,0.7924,31.1121,437.1254,986.2694,8.3403,404.6805,7443.1943,1.4841,58.271,5169148.2131,100.0,293.3339,1173.0916
APP_CD74,IDC_LumA,252.686,324.8129,2.1218,34.8544,437.1254,986.2694,11.1454,354.5232,5335.5809,2.977,48.9014,3868166.6423,100.0,297.2226,1201.316
APP_CD74,IDC_LumB,187.4189,230.8423,0.6752,38.4348,437.1254,986.2694,6.7284,259.547,13140.1144,0.9351,53.2265,6407485.6867,100.0,223.2629,1274.9279
APP_CD74,ILC_LumA,292.639,347.2549,2.3407,41.3571,437.1254,986.2694,9.9305,310.5457,6135.4986,2.4839,43.8878,4341421.4493,100.0,330.7048,1572.3427
APP_TNFRSF21,IDC_Basal,455.794,24.8537,22.7918,20.4358,437.1254,20.1605,17.7307,411.6572,22.2845,20.5848,18.4569,49702.7903,100.0,433.1131,23.5214
APP_TNFRSF21,IDC_Her2,216.0675,10.4043,9.5756,12.1658,437.1254,20.1605,37.5383,404.6805,13.2185,17.9346,22.7857,23476.4466,100.0,293.3339,13.0087
APP_TNFRSF21,IDC_LumA,252.686,2.9047,2.9992,23.6293,437.1254,20.1605,36.0111,354.5232,22.8845,4.208,33.1524,24472.0474,100.0,297.2226,7.3707
APP_TNFRSF21,IDC_LumB,187.4189,4.2989,4.0101,19.5291,437.1254,20.1605,43.8624,259.547,20.9356,5.5534,27.0449,20091.6132,100.0,223.2629,8.7653
APP_TNFRSF21,ILC_LumA,292.639,4.5949,6.516,21.2809,437.1254,20.1605,42.7053,310.5457,15.0067,6.9147,22.5831,20635.9852,100.0,330.7048,8.396
AREG_ERBB3,IDC_Basal,7.5073,76.4343,30.7995,8.0227,22.3816,43.6101,52.3902,1.6993,19.9097,6.9717,1.816,1863.0657,100.0,2.9709,39.6404
AREG_ERBB3,IDC_Her2,23.6702,126.8936,61.1839,15.9711,22.3816,43.6101,19.8826,0.9088,33.1236,2.3492,0.6132,4909.141,100.0,4.1105,62.4054
AREG_ERBB3,IDC_LumA,4.002,176.4169,2.7334,0.82,22.3816,43.6101,3.7789,104.3685,52.9219,71.2839,21.3839,25829.6302,100.0,19.5054,105.1351
AREG_ERBB3,IDC_LumB,3.9011,152.0862,5.8465,1.6406,22.3816,43.6101,9.6183,43.1916,42.6769,64.7306,18.1641,10147.9785,100.0,9.8779,94.0724
AREG_ERBB3,ILC_LumA,6.3442,257.2277,8.24,1.4725,22.3816,43.6101,4.9285,55.756,45.9678,72.4176,12.9414,19804.5448,100.0,18.7108,105.3758
ARTN_GFRA1,IDC_Basal,4.1138,0.9018,22.2331,28.6294,0.311,14.071,26.2269,1.853,1.1613,10.0147,12.8959,16.687,100.0,2.181,0.471
ARTN_GFRA1,IDC_Her2,2.0986,5.0995,59.7333,15.5141,0.311,14.071,24.428,0.0091,1.3245,0.2576,0.0669,17.9158,100.0,0.4309,1.096
ARTN_GFRA1,IDC_LumA,7.2615,64.8403,66.4561,23.8068,0.311,14.071,0.6177,0.7336,23.2279,6.7141,2.4052,708.4924,100.0,2.5509,52.2334
ARTN_GFRA1,IDC_LumB,5.0247,63.4273,67.1582,22.1027,0.311,14.071,0.9222,0.5526,20.8748,7.386,2.4308,474.5597,100.0,2.396,57.0241
ARTN_GFRA1,ILC_LumA,1.3782,177.8616,34.5504,2.1953,0.311,14.071,0.6168,2.3494,11.301,58.8954,3.7421,709.5071,100.0,1.5959,53.047
BGN_TLR2,IDC_Basal,126.107,1.5953,1.6604,19.5897,50.7576,5.011,2.0992,454.8767,18.8216,5.9892,70.6615,12116.2196,100.0,235.2743,5.5109
BGN_TLR2,IDC_Her2,166.9281,1.1843,3.7947,25.2903,50.7576,5.011,4.882,378.9854,7.8932,8.6153,57.4177,5209.8901,100.0,266.4092,3.003
BGN_TLR2,IDC_LumA,123.8109,1.3159,1.6422,10.7979,50.7576,5.011,2.5637,845.9306,8.6525,11.2205,73.7758,9921.1418,100.0,319.0857,3.511
BGN_TLR2,IDC_LumB,78.6333,0.3792,0.1609,7.8829,50.7576,5.011,1.3724,885.5142,18.5785,1.8118,88.772,18532.358,100.0,224.1623,2.9959
BGN_TLR2,ILC_LumA,162.5854,0.9935,2.0884,18.4782,50.7576,5.011,3.2884,601.9523,8.7906,7.7319,68.4132,7734.6687,100.0,353.043,3.856
BGN_TLR4,IDC_Basal,126.107,0.2036,0.3555,19.8953,50.7576,9.5407,6.7031,454.8767,11.3977,1.2822,71.7639,7224.4493,100.0,235.2743,2.3209
BGN_TLR4,IDC_Her2,166.9281,0.736,2.0143,26.1358,50.7576,9.5407,7.9392,378.9854,9.5502,4.5732,59.3375,6099.667,100.0,266.4092,3.4755
BGN_TLR4,IDC_LumA,123.8109,0.8357,0.8714,11.3753,50.7576,9.5407,4.0785,845.9306,10.9092,5.9536,77.7213,11873.7069,100.0,319.0857,3.301
BGN_TLR4,IDC_LumB,78.6333,0.4654,0.191,7.7587,50.7576,9.5407,2.5268,885.5142,18.9097,2.1504,87.3731,19164.73,100.0,224.1623,3.026
BGN_TLR4,ILC_LumA,162.5854,0.9981,1.834,18.2679,50.7576,9.5407,5.4733,601.9523,9.9412,6.7903,67.6345,8847.7455,100.0,353.043,4.236
BTLA_CD79A,IDC_Basal,0.0,0.0,0.0,0.0,0.541,4.1608,0.5393,3.2764,126.7075,0.0,99.4607,417.397,100.0,0.651,7.7511
BTLA_CD79A,IDC_Her2,0.0,0.0,0.0,0.0,0.541,4.1608,0.9782,2.2239,102.4722,0.0,99.0218,230.1376,100.0,0.5241,6.421
BTLA_CD79A,IDC_LumA,0.0,0.0,0.0,0.0,0.541,4.1608,6.0605,1.4787,23.5968,0.0,93.9395,37.1444,100.0,0.311,2.4208
BTLA_CD79A,IDC_LumB,0.0,0.0,0.0,0.0,0.541,4.1608,4.1149,1.7309,30.3045,0.0,95.8851,54.7066,100.0,0.3459,1.814
BTLA_CD79A,ILC_LumA,0.0,0.0,0.0,0.0,0.541,4.1608,2.6859,1.8989,42.9533,0.0,97.3141,83.8147,100.0,0.521,5.2039
C1QB_LRP1,IDC_Basal,14.3748,12.081,0.2524,1.0641,93.1181,94.0359,12.728,938.533,50.9265,16.481,69.4745,68796.8018,100.0,109.4099,24.7816
C1QB_LRP1,IDC_Her2,24.8896,16.5063,1.0264,3.2596,93.1181,94.0359,21.8763,428.7935,52.4197,17.6825,56.1552,40026.9896,100.0,107.6049,30.7305
C1QB_LRP1,IDC_LumA,22.0118,13.1115,0.5723,5.8123,93.1181,94.0359,17.3629,262.8913,133.1683,6.8347,69.4178,50432.0035,100.0,68.2047,38.9351
C1QB_LRP1,IDC_LumB,15.2898,7.6548,0.056,1.1479,93.1181,94.0359,4.1862,1201.5657,157.0459,4.3972,90.2127,209173.4198,100.0,90.7421,24.701
C1QB_LRP1,ILC_LumA,22.7244,18.3317,0.5843,4.6296,93.1181,94.0359,12.2825,359.5861,145.2406,9.2463,73.2573,71291.8621,100.0,106.4476,59.2195
C3_CD19,IDC_Basal,35.6464,0.0,0.0,1.8141,397.6835,0.181,0.9785,1910.1165,3.7437,0.0,97.2075,7356.2486,100.0,228.3495,0.531
C3_CD19,IDC_Her2,25.9161,0.0,0.0,2.6982,397.6835,0.181,2.0249,915.1246,3.7008,0.0,95.2768,3554.562,100.0,139.5463,0.5909
C3_CD19,IDC_LumA,41.5533,0.0,0.0,2.9847,397.6835,0.181,3.982,1295.2246,1.2984,0.0,93.0333,1807.5866,100.0,210.7516,0.191
C3_CD19,IDC_LumB,17.7303,0.0,0.0,0.9951,397.6835,0.181,3.3081,1705.116,1.2211,0.0,95.6968,2175.8134,100.0,123.8285,0.181
C3_CD19,ILC_LumA,55.1222,0.0,0.0,3.4254,397.6835,0.181,2.2818,1517.3619,1.9602,0.0,94.2927,3154.3784,100.0,322.1078,0.406
CD14_ITGA4,IDC_Basal,13.9575,0.2016,0.1302,7.9775,45.9027,2.121,4.5043,150.4397,12.354,1.4034,85.9846,2161.471,100.0,42.5622,2.5709
