lr,t,c_l,c_r,c_s,cc,cs,n_l,n_r,n_s,nn,s_l,s_r,s_s,sc,ss,sum
ADAM15_ITGAV,BLCA,96.55,7.27,695.55,8.78,37.96,40.95,13.59,556.55,6.96,95.65,31.46,3008.74,8.69,37.61,8000.06
ADAM15_ITGAV,BRCA,78.55,16.01,1767.26,12.13,24.29,55.67,23.12,1287.21,12.41,110.35,32.06,3537.64,17.05,34.12,10368.18
ADAM15_ITGAV,CESC,111.63,14.76,1948.61,17.08,20.82,103.7,16.06,1665.47,17.27,132.04,17.98,2374.39,20.21,24.62,9643.15
ADAM15_ITGAV,CRC,90.53,5.7,326.78,5.82,51.74,52.01,10.25,533.16,6.01,57.29,50.71,2905.69,3.68,32.75,8873.26
ADAM15_ITGAV,ESCA,90.9,22.01,1072.29,19.18,41.37,38.34,19.06,730.83,7.01,48.72,47.48,2313.11,10.28,22.17,10432.41
ADAM15_ITGAV,GBM,35.79,24.99,775.25,12.72,37.62,26.23,16.16,423.91,6.03,31.02,73.89,2292.39,11.03,32.6,7030.81
ADAM15_ITGAV,HNSC,109.97,21.45,1291.47,24.08,35.16,77.23,10.56,815.78,8.33,60.2,31.33,1886.12,13.18,19.25,9797.75
ADAM15_ITGAV,KIRC,14.75,30.34,2062.32,5.65,9.93,19.51,51.35,1001.79,12.64,67.97,53.38,3627.98,26.02,45.77,7926.93
ADAM15_ITGAV,KIRP,29.54,11.76,502.19,10.15,21.15,24.5,32.84,804.65,23.49,42.69,24.52,1046.69,14.66,30.56,3425.39
ADAM15_ITGAV,LGG,24.22,27.86,1045.43,15.07,20.43,26.23,16.16,423.91,9.47,37.53,37.77,1417.33,23.36,31.67,4475.79
ADAM15_ITGAV,LIHC,31.67,3.92,227.02,6.8,27.89,10.25,3.4,34.87,1.91,57.86,16.09,930.97,12.43,50.97,1826.66
ADAM15_ITGAV,LUAD,94.11,11.39,1029.03,10.33,37.25,49.14,14.18,696.91,6.72,90.38,41.06,3710.78,9.92,35.78,10372.44
ADAM15_ITGAV,LUSC,63.73,16.95,1010.1,12.32,34.83,48.91,15.67,766.4,8.75,59.6,47.89,2854.62,11.53,32.57,8763.31
ADAM15_ITGAV,MEDIAN,,,,12.3,33.36,,,,9.93,,,,12.37,,
ADAM15_ITGAV,OV,69.01,8.68,323.5,12.16,40.31,43.04,21.98,945.91,19.2,37.26,28.79,1072.7,6.56,21.77,4927.81
ADAM15_ITGAV,PAAD,122.01,7.56,455.66,6.31,50.68,48.12,45.18,2174.16,14.86,60.24,60.76,3660.69,3.12,25.03,14626.99
ADAM15_ITGAV,PRAD,98.74,10.43,798.46,15.88,31.89,59.22,16.62,984.3,15.18,76.57,20.94,1603.24,12.32,24.73,6483.13
ADAM15_ITGAV,SKCM,69.27,13.1,844.45,20.2,24.37,49.71,12.61,626.89,13.96,64.46,15.8,1018.74,18.8,22.68,4492.17
ADAM15_ITGAV,STAD,71.19,10.62,543.9,12.28,41.29,43.37,11.21,486.1,7.89,51.21,35.73,1829.42,8.83,29.7,6158.76
ADAM15_ITGAV,THCA,42.69,23.52,1530.65,12.65,22.85,28.73,28.68,824.0,10.38,65.07,42.47,2763.58,19.29,34.83,7935.5
ADAM15_ITGAV,UCEC,109.64,9.96,940.62,18.58,24.47,75.12,15.53,1166.68,19.86,94.45,13.12,1238.69,16.01,21.08,5875.86
AGRN_LRP4,BLCA,105.51,4.7,262.32,51.04,11.75,28.44,1.37,38.99,4.01,55.79,1.08,60.39,26.99,6.21,972.06
AGRN_LRP4,BRCA,29.6,0.84,40.34,9.65,16.61,26.72,3.03,80.99,31.31,47.83,1.45,69.41,15.59,26.84,258.66
AGRN_LRP4,CESC,57.81,5.65,486.02,35.31,2.88,18.56,2.5,46.42,5.01,85.96,0.46,39.69,52.5,4.29,925.68
AGRN_LRP4,CRC,25.59,25.37,1008.7,32.3,4.79,12.69,8.37,106.23,5.29,39.76,3.76,149.57,50.19,7.44,2009.86
AGRN_LRP4,ESCA,80.35,5.67,421.08,39.6,10.95,15.39,2.05,31.57,2.74,74.23,1.57,116.41,36.59,10.12,1150.79
AGRN_LRP4,GBM,61.47,35.72,610.94,50.24,10.62,38.44,25.23,969.89,22.2,17.1,7.55,129.19,13.98,2.96,4369.68
AGRN_LRP4,HNSC,66.91,5.26,369.31,36.18,9.93,18.72,2.87,53.76,5.52,70.18,1.44,101.41,37.95,10.42,973.25
AGRN_LRP4,KIRC,45.27,1.48,155.39,7.06,20.69,53.38,1.4,74.79,7.88,104.96,4.34,455.13,16.38,47.98,948.62
AGRN_LRP4,KIRP,143.06,4.32,327.24,49.17,11.61,77.22,1.14,88.11,7.01,75.78,1.02,77.28,26.05,6.15,1256.3
AGRN_LRP4,LGG,46.62,109.96,2949.45,50.25,7.19,38.44,25.23,969.89,9.51,26.82,15.74,422.09,28.91,4.14,10201.42
AGRN_LRP4,LIHC,16.9,0.74,26.14,20.44,11.33,7.55,0.16,1.18,1.92,35.27,0.41,14.48,42.67,23.64,61.25
AGRN_LRP4,LUAD,56.35,3.95,243.55,29.85,9.01,40.38,3.45,139.35,18.67,61.6,1.19,73.51,32.63,9.85,746.41
AGRN_LRP4,LUSC,36.35,14.45,1117.72,26.22,4.1,37.1,2.79,103.52,5.17,77.34,2.26,174.7,55.79,8.72,2003.44
AGRN_LRP4,MEDIAN,,,,35.74,11.02,,,,5.98,,,,28.93,,
AGRN_LRP4,OV,95.82,2.4,261.48,39.48,4.28,7.2,5.2,37.45,6.43,109.04,0.26,28.38,44.93,4.88,582.04
