sample,BLCA,BRCA,CESC,CRC,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SKCM,STAD,THCA,UCEC
RAB4B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TIGAR,0.98,0.99,1.0,0.99,1.0,1.0,1.0,0.99,0.98,1.0,0.79,1.0,1.0,0.98,0.98,0.95,1.0,1.0,0.97,0.98
RNF44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DNAH3,0.19,0.06,0.08,0.42,0.36,0.01,0.12,0.01,0.08,0.01,0.0,0.45,0.26,0.38,0.22,0.01,0.01,0.25,0.0,0.35
RPL23A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARL8B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CALB2,0.39,0.77,0.46,0.45,0.42,0.57,0.76,0.08,0.24,0.7,0.04,0.3,0.61,0.65,0.85,0.02,0.16,0.29,0.14,0.53
DACH1,0.06,0.72,0.25,0.9,0.34,0.24,0.05,0.41,0.12,0.55,0.01,0.17,0.33,0.65,0.42,0.93,0.03,0.43,0.0,0.7
FMO2,0.11,0.7,0.14,0.09,0.59,0.13,0.44,0.87,0.59,0.36,0.13,0.93,0.88,0.32,0.75,0.52,0.25,0.57,0.25,0.15
ZNF708,0.8,0.95,0.48,0.92,0.77,1.0,0.35,0.9,0.68,1.0,0.18,0.9,0.74,0.85,0.9,0.98,0.71,0.92,0.95,0.85
MYADML2,0.0,0.0,0.01,0.4,0.04,0.02,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.08,0.0,0.01
PHEX,0.08,0.23,0.12,0.02,0.08,0.56,0.06,0.07,0.05,0.21,0.02,0.08,0.2,0.03,0.0,0.0,0.07,0.0,0.52,0.1
MOGAT2,0.32,0.47,0.21,0.81,0.3,0.0,0.05,0.0,0.02,0.0,0.74,0.02,0.04,0.08,0.39,0.72,0.0,0.61,0.01,0.06
PFN2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RMND5A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RAD23A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TUBB4A,0.1,0.13,0.06,0.03,0.2,0.99,0.16,0.59,0.91,1.0,0.39,0.32,0.43,0.78,0.25,0.34,0.93,0.17,0.01,0.46
OR2D2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINB11,0.1,0.0,0.27,0.0,0.27,0.0,0.36,0.0,0.0,0.0,0.0,0.05,0.39,0.0,0.0,0.56,0.0,0.02,0.01,0.01
COX10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GJA4,0.95,0.99,0.76,0.95,0.92,0.99,0.9,1.0,0.94,0.93,0.99,0.99,0.95,1.0,1.0,0.97,0.99,0.99,1.0,0.98
TLL2,0.13,0.03,0.21,0.04,0.09,0.06,0.11,0.02,0.27,0.16,0.01,0.06,0.15,0.02,0.22,0.34,0.02,0.19,0.08,0.24
MFSD3,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTSA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IL32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRAC2,0.26,0.2,0.28,0.64,0.25,0.25,0.09,0.04,0.03,0.02,0.05,0.14,0.21,0.07,0.11,1.0,0.28,0.33,0.0,0.46
NUCB2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SERPINB12,0.04,0.0,0.21,0.0,0.12,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.05,0.01,0.0,0.01
B3GAT2,0.01,0.01,0.0,0.01,0.01,0.82,0.0,0.01,0.0,0.97,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.03
SPATA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FGF23,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01
SERTAD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99
OTUD1,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.96
ADGRG5,0.16,0.18,0.66,0.74,0.6,0.1,0.26,0.49,0.31,0.05,0.25,0.5,0.33,0.15,0.57,0.04,0.29,0.87,0.28,0.29
ST3GAL6,0.53,0.97,0.88,0.41,0.74,1.0,0.85,0.99,0.92,1.0,0.97,0.97,0.93,0.98,0.94,0.92,1.0,0.86,0.93,0.9
GLI4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PKP2,0.94,0.97,0.88,1.0,0.99,0.13,0.95,0.96,0.92,0.16,0.95,0.71,0.96,1.0,0.97,1.0,0.09,1.0,0.54,0.99
HOOK1,0.91,0.99,0.99,1.0,0.98,0.04,0.94,0.98,1.0,0.14,0.98,0.99,0.99,1.0,0.99,1.0,0.43,0.97,1.0,0.97
MRM3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRT1,0.29,0.08,0.42,0.03,0.41,0.0,0.82,0.02,0.05,0.01,0.02,0.06,0.39,0.0,0.06,0.02,0.16,0.04,0.0,0.02
ASB8,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC45A4,0.94,0.99,0.98,1.0,0.99,0.91,0.97,1.0,0.99,0.97,0.43,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTRF1,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,0.97,1.0,1.0,0.99,1.0,0.99,0.94,1.0,1.0,0.99
GAGE10,0.07,0.01,0.03,0.0,0.01,0.0,0.06,0.0,0.02,0.0,0.08,0.04,0.11,0.01,0.0,0.0,0.14,0.01,0.0,0.06
ESM1,0.86,0.94,0.74,0.93,0.75,0.84,0.82,1.0,0.8,0.14,0.78,0.92,0.94,0.91,0.93,0.36,0.65,0.81,0.93,0.95
RWDD2A,0.7,0.95,0.55,0.96,0.57,1.0,0.37,0.98,0.98,1.0,0.77,0.95,0.83,0.96,0.93,1.0,0.71,0.86,0.99,0.98
SCFD2,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
PRR23A,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
