,Purity,type
TCGA-2F-A9KO-01,0.403097919968,BLCA
TCGA-2F-A9KP-01,0.725808173513,BLCA
TCGA-2F-A9KQ-01,0.790499909174,BLCA
TCGA-2F-A9KR-01,0.738861201673,BLCA
TCGA-2F-A9KT-01,0.589775419194,BLCA
TCGA-2F-A9KW-01,0.597313924738,BLCA
TCGA-4Z-AA7M-01,0.614838441522,BLCA
TCGA-4Z-AA7N-01,0.195250998711,BLCA
TCGA-4Z-AA7O-01,0.636822478141,BLCA
TCGA-4Z-AA7Q-01,0.380465581474,BLCA
TCGA-4Z-AA7R-01,0.804111276394,BLCA
TCGA-4Z-AA7S-01,0.828791332914,BLCA
TCGA-4Z-AA7W-01,0.43118349447,BLCA
TCGA-4Z-AA7Y-01,0.782285743981,BLCA
TCGA-4Z-AA80-01,0.591917445945,BLCA
TCGA-4Z-AA81-01,0.645186042305,BLCA
TCGA-4Z-AA82-01,0.55561718703,BLCA
TCGA-4Z-AA83-01,0.650074313457,BLCA
TCGA-4Z-AA84-01,0.59267646068,BLCA
TCGA-4Z-AA86-01,0.352049415226,BLCA
TCGA-4Z-AA87-01,0.576945559042,BLCA
TCGA-4Z-AA89-01,0.631140708113,BLCA
TCGA-5N-A9KI-01,0.534143598853,BLCA
TCGA-5N-A9KM-01,0.593568643502,BLCA
TCGA-BL-A0C8-01,0.669540566667,BLCA
TCGA-BL-A13I-01,0.314404881201,BLCA
TCGA-BL-A13J-01,0.606929818642,BLCA
TCGA-BL-A3JM-01,0.655861123631,BLCA
TCGA-BL-A5ZZ-01,0.312082193627,BLCA
TCGA-BT-A0S7-01,0.559212133128,BLCA
TCGA-BT-A0YX-01,0.423889400388,BLCA
TCGA-BT-A20J-01,0.394080841493,BLCA
TCGA-BT-A20N-01,0.687212567716,BLCA
TCGA-BT-A20O-01,0.213406597452,BLCA
TCGA-BT-A20P-01,0.814037531463,BLCA
TCGA-BT-A20Q-01,0.571755996538,BLCA
TCGA-BT-A20R-01,0.438183599234,BLCA
TCGA-BT-A20T-01,0.560220309663,BLCA
TCGA-BT-A20U-01,0.432954075,BLCA
TCGA-BT-A20V-01,0.685353248781,BLCA
TCGA-BT-A20W-01,0.516206166985,BLCA
TCGA-BT-A20X-01,0.473546007752,BLCA
TCGA-BT-A2LA-01,0.897729900818,BLCA
TCGA-BT-A2LB-01,0.474669363651,BLCA
TCGA-BT-A2LD-01,0.52098579258,BLCA
TCGA-BT-A3PH-01,0.753758928459,BLCA
TCGA-BT-A3PJ-01,0.497479557776,BLCA
TCGA-BT-A3PK-01,0.285671002848,BLCA
TCGA-BT-A42C-01,0.685521232473,BLCA
TCGA-BT-A42E-01,0.487858950827,BLCA
TCGA-BT-A42F-01,0.276151657264,BLCA
TCGA-C4-A0EZ-01,0.814768383333,BLCA
TCGA-C4-A0F0-01,0.506826467553,BLCA
TCGA-C4-A0F6-01,0.557883527856,BLCA
TCGA-CF-A1HR-01,0.482894975625,BLCA
TCGA-CF-A1HS-01,0.645875914728,BLCA
TCGA-CF-A27C-01,0.861505253768,BLCA
TCGA-CF-A3MF-01,0.791215134716,BLCA
TCGA-CF-A3MG-01,0.670015360821,BLCA
TCGA-CF-A3MH-01,0.815479075758,BLCA
TCGA-CF-A3MI-01,0.757084043315,BLCA
TCGA-CF-A47S-01,0.492868044735,BLCA
TCGA-CF-A47T-01,0.797225598175,BLCA
TCGA-CF-A47V-01,0.758651278391,BLCA
TCGA-CF-A47W-01,0.647995857001,BLCA
TCGA-CF-A47X-01,0.868896657259,BLCA
TCGA-CF-A47Y-01,0.670379748164,BLCA
TCGA-CF-A5U8-01,0.780637492016,BLCA
TCGA-CF-A5UA-01,0.815671140115,BLCA
TCGA-CF-A7I0-01,0.695034722,BLCA
TCGA-CF-A8HX-01,0.832103482843,BLCA
TCGA-CF-A8HY-01,0.821375369693,BLCA
TCGA-CF-A9FF-01,0.631569124298,BLCA
TCGA-CF-A9FH-01,0.877697115309,BLCA
TCGA-CF-A9FL-01,0.656097548736,BLCA
TCGA-CF-A9FM-01,0.612453718705,BLCA
TCGA-CU-A0YN-01,0.490780559641,BLCA
TCGA-CU-A0YO-01,0.319612739246,BLCA
TCGA-CU-A0YR-01,0.445036664907,BLCA
TCGA-CU-A3KJ-01,0.725161193044,BLCA
TCGA-CU-A3QU-01,0.82553812798,BLCA
TCGA-CU-A3YL-01,0.625066265724,BLCA
TCGA-CU-A5W6-01,0.502662891667,BLCA
TCGA-CU-A72E-01,0.595138898665,BLCA
TCGA-DK-A1A3-01,0.458593703729,BLCA
TCGA-DK-A1A5-01,0.555287729842,BLCA
TCGA-DK-A1A6-01,0.669250646711,BLCA
TCGA-DK-A1A7-01,0.730635680693,BLCA
TCGA-DK-A1AA-01,0.789091191667,BLCA
TCGA-DK-A1AB-01,0.469573171506,BLCA
TCGA-DK-A1AC-01,0.575900300507,BLCA
TCGA-DK-A1AD-01,0.654425442096,BLCA
TCGA-DK-A1AE-01,0.741951952007,BLCA
TCGA-DK-A1AF-01,0.221637310208,BLCA
TCGA-DK-A1AG-01,0.750656022326,BLCA
TCGA-DK-A2HX-01,0.486611071059,BLCA
TCGA-DK-A2I1-01,0.50472998492,BLCA
TCGA-DK-A2I2-01,0.341271006447,BLCA
TCGA-DK-A2I4-01,0.25424285,BLCA
TCGA-DK-A2I6-01,0.599261071485,BLCA
TCGA-DK-A3IK-01,0.614329556624,BLCA
TCGA-DK-A3IL-01,0.790510360764,BLCA
TCGA-DK-A3IM-01,0.734707619302,BLCA
TCGA-DK-A3IN-01,0.437103176834,BLCA
TCGA-DK-A3IQ-01,0.296738372624,BLCA
TCGA-DK-A3IS-01,0.807693316153,BLCA
TCGA-DK-A3IT-01,0.474721276085,BLCA
TCGA-DK-A3IU-01,0.259018475562,BLCA
TCGA-DK-A3IV-01,0.555995552904,BLCA
TCGA-DK-A3WW-01,0.529200541667,BLCA
TCGA-DK-A3WX-01,0.325690738217,BLCA
TCGA-DK-A3WY-01,0.433096601876,BLCA
TCGA-DK-A3X1-01,0.46225582217,BLCA
TCGA-DK-A3X2-01,0.880730940593,BLCA
TCGA-DK-A6AV-01,0.521658476943,BLCA
TCGA-DK-A6AW-01,0.842811108796,BLCA
TCGA-DK-A6B0-01,0.80713693493,BLCA
TCGA-DK-A6B1-01,0.798515629873,BLCA
TCGA-DK-A6B2-01,0.511712516667,BLCA
TCGA-DK-A6B5-01,0.6978492342,BLCA
TCGA-DK-A6B6-01,0.558364918135,BLCA
TCGA-DK-AA6L-01,0.62407090583,BLCA
TCGA-DK-AA6M-01,0.519230873318,BLCA
TCGA-DK-AA6P-01,0.772559837946,BLCA
TCGA-DK-AA6Q-01,0.597221655878,BLCA
TCGA-DK-AA6R-01,0.596265619486,BLCA
TCGA-DK-AA6S-01,0.458155289347,BLCA
TCGA-DK-AA6T-01,0.522613999763,BLCA
TCGA-DK-AA6U-01,0.863171112826,BLCA
TCGA-DK-AA6W-01,0.731808328142,BLCA
TCGA-DK-AA6X-01,0.407347864075,BLCA
TCGA-DK-AA71-01,0.709100676762,BLCA
TCGA-DK-AA74-01,0.231124458731,BLCA
TCGA-DK-AA75-01,0.617418592048,BLCA
TCGA-DK-AA76-01,0.792865549017,BLCA
TCGA-DK-AA77-01,0.738558234428,BLCA
TCGA-E5-A2PC-01,0.698316765569,BLCA
TCGA-E5-A4TZ-01,0.750049237641,BLCA
TCGA-E5-A4U1-01,0.88008845369,BLCA
TCGA-E7-A3X6-01,0.529220093888,BLCA
TCGA-E7-A3Y1-01,0.673236276782,BLCA
TCGA-E7-A4IJ-01,0.681685812289,BLCA
TCGA-E7-A4XJ-01,0.628299578279,BLCA
TCGA-E7-A519-01,0.480037345446,BLCA
TCGA-E7-A541-01,0.396165164606,BLCA
TCGA-E7-A5KE-01,0.856025711065,BLCA
TCGA-E7-A5KF-01,0.886301725828,BLCA
TCGA-E7-A677-01,0.749806275417,BLCA
TCGA-E7-A678-01,0.720931245943,BLCA
TCGA-E7-A6MD-01,0.554009925007,BLCA
TCGA-E7-A6ME-01,0.769567184608,BLCA
TCGA-E7-A6MF-01,0.577128170058,BLCA
TCGA-E7-A7DU-01,0.76654448175,BLCA
TCGA-E7-A7DV-01,0.403837821349,BLCA
TCGA-E7-A7PW-01,0.778573836879,BLCA
TCGA-E7-A7XN-01,0.33137606963,BLCA
TCGA-E7-A85H-01,0.649950278079,BLCA
TCGA-E7-A8O7-01,0.551957979998,BLCA
TCGA-E7-A97P-01,0.351878197523,BLCA
TCGA-E7-A97Q-01,0.596352783805,BLCA
TCGA-FD-A3B3-01,0.277026740979,BLCA
TCGA-FD-A3B4-01,0.543468350376,BLCA
TCGA-FD-A3B5-01,0.617312718404,BLCA
TCGA-FD-A3B6-01,0.401527476445,BLCA
TCGA-FD-A3B7-01,0.293882898739,BLCA
TCGA-FD-A3B8-01,0.190562796023,BLCA
TCGA-FD-A3N5-01,0.734884467016,BLCA
TCGA-FD-A3N6-01,0.737028187612,BLCA
TCGA-FD-A3NA-01,0.452699056781,BLCA
TCGA-FD-A3SJ-01,0.503668218803,BLCA
TCGA-FD-A3SL-01,0.463840215145,BLCA
TCGA-FD-A3SM-01,0.565404551049,BLCA
TCGA-FD-A3SN-01,0.627824994517,BLCA
TCGA-FD-A3SO-01,0.44466225874,BLCA
TCGA-FD-A3SP-01,0.297810116667,BLCA
TCGA-FD-A3SQ-01,0.337729638587,BLCA
TCGA-FD-A3SR-01,0.449994691667,BLCA
TCGA-FD-A3SS-01,0.659425183793,BLCA
TCGA-FD-A43N-01,0.608493652299,BLCA
TCGA-FD-A43P-01,0.413128523883,BLCA
TCGA-FD-A43S-01,0.217121495705,BLCA
TCGA-FD-A43U-01,0.29874925,BLCA
TCGA-FD-A43X-01,0.853176657259,BLCA
TCGA-FD-A43Y-01,0.46380554489,BLCA
TCGA-FD-A5BR-01,0.471891319564,BLCA
TCGA-FD-A5BS-01,0.196236872003,BLCA
TCGA-FD-A5BT-01,0.261130558775,BLCA
TCGA-FD-A5BU-01,0.298507816602,BLCA
TCGA-FD-A5BV-01,0.718490353046,BLCA
TCGA-FD-A5BX-01,0.515564000194,BLCA
TCGA-FD-A5BY-01,0.600615591759,BLCA
TCGA-FD-A5BZ-01,0.428410324202,BLCA
TCGA-FD-A5C0-01,0.620211591816,BLCA
TCGA-FD-A5C1-01,0.420177766689,BLCA
TCGA-FD-A62N-01,0.261613897673,BLCA
TCGA-FD-A62O-01,0.764260361347,BLCA
TCGA-FD-A62P-01,0.294740502587,BLCA
TCGA-FD-A62S-01,0.350885400829,BLCA
TCGA-FD-A6TA-01,0.455374206893,BLCA
TCGA-FD-A6TB-01,0.302831907763,BLCA
TCGA-FD-A6TC-01,0.659372992977,BLCA
TCGA-FD-A6TD-01,0.392014722607,BLCA
TCGA-FD-A6TE-01,0.780702100991,BLCA
TCGA-FD-A6TF-01,0.368657604819,BLCA
TCGA-FD-A6TG-01,0.330601482137,BLCA
TCGA-FD-A6TH-01,0.617387083591,BLCA
TCGA-FD-A6TI-01,0.475001529699,BLCA
TCGA-FD-A6TK-01,0.293070464353,BLCA
TCGA-FJ-A3Z7-01,0.556983740697,BLCA
TCGA-FJ-A3Z9-01,0.680681172502,BLCA
TCGA-FJ-A3ZE-01,0.867323859417,BLCA
TCGA-FJ-A3ZF-01,0.72615865471,BLCA
TCGA-FJ-A871-01,0.611809260665,BLCA
TCGA-FT-A3EE-01,0.625508493479,BLCA
TCGA-FT-A61P-01,0.304782841627,BLCA
TCGA-G2-A2EF-01,0.551884131193,BLCA
TCGA-G2-A2EJ-01,0.58804785199,BLCA
TCGA-G2-A2EK-01,0.485121291532,BLCA
TCGA-G2-A2EL-01,0.906589925,BLCA
TCGA-G2-A2EO-01,0.391625789961,BLCA
TCGA-G2-A2ES-01,0.523544152243,BLCA
TCGA-G2-A3IB-01,0.807047486663,BLCA
TCGA-G2-A3IE-01,0.666269789848,BLCA
TCGA-G2-A3VY-01,0.734915996694,BLCA
TCGA-G2-AA3B-01,0.796459269272,BLCA
TCGA-G2-AA3C-01,0.461120257234,BLCA
TCGA-G2-AA3D-01,0.482839828833,BLCA
TCGA-G2-AA3F-01,0.596296827737,BLCA
TCGA-GC-A3BM-01,0.75985804237,BLCA
TCGA-GC-A3I6-01,0.51096224429,BLCA
TCGA-GC-A3OO-01,0.354681297332,BLCA
TCGA-GC-A3RB-01,0.678488469377,BLCA
TCGA-GC-A3RC-01,0.536967066455,BLCA
TCGA-GC-A3RD-01,0.585548751906,BLCA
TCGA-GC-A3WC-01,0.328476402796,BLCA
TCGA-GC-A3YS-01,0.477349492997,BLCA
TCGA-GC-A4ZW-01,0.791994416251,BLCA
TCGA-GC-A6I1-01,0.336457143741,BLCA
TCGA-GC-A6I3-01,0.362574587329,BLCA
TCGA-GD-A2C5-01,0.505929284543,BLCA
TCGA-GD-A3OP-01,0.387015839728,BLCA
TCGA-GD-A3OQ-01,0.646277350319,BLCA
TCGA-GD-A3OS-01,0.656596674725,BLCA
TCGA-GD-A6C6-01,0.792233833951,BLCA
TCGA-GD-A76B-01,0.323549592821,BLCA
TCGA-GU-A42P-01,0.503160536731,BLCA
TCGA-GU-A42Q-01,0.501960519042,BLCA
TCGA-GU-A42R-01,0.707835851441,BLCA
TCGA-GU-A762-01,0.319252153929,BLCA
TCGA-GU-A763-01,0.8106127,BLCA
TCGA-GU-A764-01,0.37057325962,BLCA
TCGA-GU-A766-01,0.333465383476,BLCA
TCGA-GU-A767-01,0.410183326831,BLCA
TCGA-GU-AATO-01,0.45596649712,BLCA
TCGA-GU-AATP-01,0.608621517255,BLCA
TCGA-GU-AATQ-01,0.657621567347,BLCA
TCGA-GV-A3JV-01,0.560025956915,BLCA
TCGA-GV-A3JW-01,0.69899596553,BLCA
TCGA-GV-A3JX-01,0.771515817929,BLCA
TCGA-GV-A3JZ-01,0.746582710552,BLCA
TCGA-GV-A3QF-01,0.601140191828,BLCA
TCGA-GV-A3QG-01,0.385235991667,BLCA
TCGA-GV-A3QH-01,0.596391408146,BLCA
TCGA-GV-A3QI-01,0.914936013984,BLCA
TCGA-GV-A3QK-01,0.692789634296,BLCA
TCGA-GV-A40E-01,0.562716029142,BLCA
TCGA-GV-A40G-01,0.709166814936,BLCA
TCGA-GV-A6ZA-01,0.702882050747,BLCA
TCGA-H4-A2HO-01,0.494330787136,BLCA
TCGA-H4-A2HQ-01,0.733661230602,BLCA
TCGA-HQ-A2OE-01,0.684424348269,BLCA
TCGA-HQ-A2OF-01,0.716938583589,BLCA
TCGA-HQ-A5ND-01,0.638492365451,BLCA
TCGA-HQ-A5NE-01,0.450171468432,BLCA
TCGA-K4-A3WS-01,0.294734008269,BLCA
TCGA-K4-A3WU-01,0.351989404205,BLCA
TCGA-K4-A3WV-01,0.766069164586,BLCA
TCGA-K4-A4AB-01,0.56922212379,BLCA
TCGA-K4-A4AC-01,0.392135764015,BLCA
TCGA-K4-A54R-01,0.591026825,BLCA
TCGA-K4-A5RH-01,0.309604092171,BLCA
TCGA-K4-A5RI-01,0.661790173542,BLCA
TCGA-K4-A5RJ-01,0.398851179862,BLCA
TCGA-K4-A6FZ-01,0.456603482355,BLCA
TCGA-K4-A6MB-01,0.745884153973,BLCA
TCGA-K4-A83P-01,0.219042356154,BLCA
TCGA-K4-AAQO-01,0.400913286438,BLCA
TCGA-KQ-A41N-01,0.684895935694,BLCA
TCGA-KQ-A41O-01,0.932672506933,BLCA
TCGA-KQ-A41P-01,0.636360186858,BLCA
TCGA-KQ-A41Q-01,0.569526313395,BLCA
TCGA-KQ-A41R-01,0.726216472184,BLCA
TCGA-KQ-A41S-01,0.436938131769,BLCA
TCGA-LC-A66R-01,0.387958494705,BLCA
TCGA-LT-A5Z6-01,0.748222131127,BLCA
TCGA-LT-A8JT-01,0.748684285256,BLCA
TCGA-MV-A51V-01,0.713332071685,BLCA
TCGA-PQ-A6FI-01,0.712084718734,BLCA
TCGA-PQ-A6FN-01,0.374965255921,BLCA
TCGA-R3-A69X-01,0.337168803409,BLCA
TCGA-S5-A6DX-01,0.406231503215,BLCA
TCGA-S5-AA26-01,0.848819627198,BLCA
TCGA-SY-A9G0-01,0.280446882683,BLCA
TCGA-SY-A9G5-01,0.402622583716,BLCA
TCGA-UY-A78K-01,0.553234754819,BLCA
TCGA-UY-A78L-01,0.654415786614,BLCA
TCGA-UY-A78M-01,0.62639170609,BLCA
TCGA-UY-A78N-01,0.79314468821,BLCA
TCGA-UY-A78O-01,0.505659292046,BLCA
TCGA-UY-A78P-01,0.310662825098,BLCA
TCGA-UY-A8OB-01,0.667174656106,BLCA
TCGA-UY-A8OC-01,0.539674967432,BLCA
TCGA-UY-A8OD-01,0.537611355918,BLCA
TCGA-UY-A9PA-01,0.344748289532,BLCA
TCGA-UY-A9PB-01,0.333828593607,BLCA
TCGA-UY-A9PD-01,0.572711721643,BLCA
TCGA-UY-A9PE-01,0.552240577628,BLCA
TCGA-UY-A9PF-01,0.472817559745,BLCA
TCGA-UY-A9PH-01,0.41190770634,BLCA
TCGA-XF-A8HB-01,0.833855969025,BLCA
TCGA-XF-A8HC-01,0.759894335916,BLCA
TCGA-XF-A8HD-01,0.448885580614,BLCA
TCGA-XF-A8HE-01,0.346411147748,BLCA
TCGA-XF-A8HF-01,0.586673094638,BLCA
TCGA-XF-A8HG-01,0.774207185217,BLCA
TCGA-XF-A8HH-01,0.496313318581,BLCA
TCGA-XF-A8HI-01,0.744009856659,BLCA
TCGA-XF-A9SH-01,0.665116276666,BLCA
TCGA-XF-A9SI-01,0.204268828489,BLCA
TCGA-XF-A9SJ-01,0.374041447745,BLCA
TCGA-XF-A9SK-01,0.410920807235,BLCA
TCGA-XF-A9SL-01,0.210440832137,BLCA
TCGA-XF-A9SM-01,0.285633406006,BLCA
TCGA-XF-A9SP-01,0.405219996727,BLCA
TCGA-XF-A9ST-01,0.832205766576,BLCA
TCGA-XF-A9SU-01,0.307950906587,BLCA
TCGA-XF-A9SV-01,0.555335426904,BLCA
TCGA-XF-A9SW-01,0.355515332804,BLCA
TCGA-XF-A9SX-01,0.392436801445,BLCA
TCGA-XF-A9SY-01,0.268037495294,BLCA
TCGA-XF-A9SZ-01,0.424797821529,BLCA
TCGA-XF-A9T0-01,0.69258414062,BLCA
TCGA-XF-A9T2-01,0.638103546428,BLCA
TCGA-XF-A9T3-01,0.43419711416,BLCA
TCGA-XF-A9T4-01,0.662497556642,BLCA
TCGA-XF-A9T5-01,0.537518006142,BLCA
TCGA-XF-A9T6-01,0.727857522586,BLCA
TCGA-XF-A9T8-01,0.373229224889,BLCA
TCGA-XF-AAME-01,0.179157420823,BLCA
TCGA-XF-AAMG-01,0.705416605923,BLCA
TCGA-XF-AAMH-01,0.751721144538,BLCA
TCGA-XF-AAMJ-01,0.331751692757,BLCA
TCGA-XF-AAML-01,0.571711628516,BLCA
TCGA-XF-AAMQ-01,0.604070040882,BLCA
TCGA-XF-AAMR-01,0.370833050418,BLCA
TCGA-XF-AAMT-01,0.431391708106,BLCA
TCGA-XF-AAMW-01,0.548117034058,BLCA
TCGA-XF-AAMX-01,0.716370320786,BLCA
TCGA-XF-AAMY-01,0.517358693303,BLCA
TCGA-XF-AAMZ-01,0.441344018705,BLCA
TCGA-XF-AAN0-01,0.518711323508,BLCA
TCGA-XF-AAN1-01,0.777368863525,BLCA
TCGA-XF-AAN2-01,0.59380015688,BLCA
TCGA-XF-AAN3-01,0.463138486265,BLCA
TCGA-XF-AAN4-01,0.262037140784,BLCA
TCGA-XF-AAN5-01,0.411772260257,BLCA
TCGA-XF-AAN7-01,0.672488093629,BLCA
TCGA-XF-AAN8-01,0.205804149317,BLCA
TCGA-YC-A89H-01,0.540476367539,BLCA
TCGA-YC-A8S6-01,0.270257903841,BLCA
TCGA-YC-A9TC-01,0.663637325502,BLCA
TCGA-YF-AA3L-01,0.799753058262,BLCA
TCGA-YF-AA3M-01,0.651627725144,BLCA
TCGA-ZF-A9R0-01,0.55346618138,BLCA
TCGA-ZF-A9R1-01,0.587373308029,BLCA
TCGA-ZF-A9R2-01,0.651456799544,BLCA
TCGA-ZF-A9R3-01,0.692459556411,BLCA
TCGA-ZF-A9R4-01,0.815496858069,BLCA
TCGA-ZF-A9R5-01,0.768756972036,BLCA
TCGA-ZF-A9R7-01,0.546417157399,BLCA
TCGA-ZF-A9R9-01,0.673397025986,BLCA
TCGA-ZF-A9RC-01,0.460184069456,BLCA
TCGA-ZF-A9RE-01,0.735681851612,BLCA
TCGA-ZF-A9RF-01,0.591691909883,BLCA
TCGA-ZF-A9RL-01,0.752544463639,BLCA
TCGA-ZF-A9RM-01,0.673333773977,BLCA
TCGA-ZF-A9RN-01,0.630573691928,BLCA
TCGA-ZF-AA4N-01,0.616267263573,BLCA
TCGA-ZF-AA4R-01,0.67730869647,BLCA
TCGA-ZF-AA4T-01,0.793615577531,BLCA
TCGA-ZF-AA4U-01,0.830154781718,BLCA
TCGA-ZF-AA4V-01,0.568313957319,BLCA
TCGA-ZF-AA4W-01,0.474443244375,BLCA
TCGA-ZF-AA4X-01,0.607319947621,BLCA
TCGA-ZF-AA51-01,0.431858361991,BLCA
TCGA-ZF-AA52-01,0.358986339371,BLCA
TCGA-ZF-AA53-01,0.356898762561,BLCA
TCGA-ZF-AA54-01,0.414616560583,BLCA
TCGA-ZF-AA56-01,0.395760411976,BLCA
